127.0.0.1 - - [12/Feb/2024:20:27:26 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/ HTTP/1.1" 200 12742
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/css/tooplate-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/css/unicons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/images/undraw/undraw_software_engineer_lvl5.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/images/myprojects/2024-01-25T192400.658086400FIMO_1681735353767.jpg HTTP/1.1" 200 2649833
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/images/myprojects/2024-01-25T184012.186950500IMG20230419093420.jpg HTTP/1.1" 200 1974081
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/images/myprojects/2024-01-25T183957.471061900FIMO_1680350505253.jpg HTTP/1.1" 200 3403902
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/js/Headroom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:27:29 +0530] "GET /myproject/js/owl.carousel.min.js HTTP/1.1" 304 -
